Date,Open,High,Low,Close,Adj Close,Volume
02/07/19,133.229996,134.050003,132.320007,134.009995,134.009995,1047500
03/07/19,134.089996,135,133.059998,134.880005,134.880005,733600
05/07/19,134.160004,135.169998,132.919998,135.119995,135.119995,736400
08/07/19,134.580002,135.029999,132.130005,132.479996,132.479996,1127600
09/07/19,132.160004,133.710007,132.160004,133.449997,133.449997,827200
10/07/19,133.830002,134.490005,132.770004,133.300003,133.300003,1143600
11/07/19,133.330002,133.990005,132.869995,133.940002,133.940002,994900
12/07/19,134.110001,134.759995,133.710007,134.580002,134.580002,1044700
15/07/19,135,135.199997,133.899994,134.740005,134.740005,1472600
16/07/19,135,136.539993,134.600006,136.369995,136.369995,1314600
17/07/19,136.139999,137.160004,135.110001,135.139999,135.139999,1229800
18/07/19,134.130005,137.139999,134.119995,136.470001,136.470001,1459800
19/07/19,136.5,137.380005,135.059998,135.100006,135.100006,1554700
22/07/19,134.820007,136.740005,134.5,136.020004,136.020004,1717400
23/07/19,136.5,137.630005,135.990005,137.309998,137.309998,1239900
24/07/19,136.809998,138.440002,136.020004,137.820007,137.820007,1832100
25/07/19,138.410004,139.490005,137.770004,138.210007,138.210007,2320600
26/07/19,140.979996,144,138.729996,139.419998,139.419998,9142800
29/07/19,138.899994,139.979996,137.270004,138.710007,138.710007,2162000
30/07/19,136.539993,137.080002,133.690002,135.25,135.25,2853600
31/07/19,137.289993,137.289993,131.300003,132.740005,132.740005,2543400
01/08/19,132.910004,133.479996,130.570007,131.410004,131.410004,2839100
02/08/19,130.589996,132.029999,128.889999,129.169998,129.169998,2430500
05/08/19,126.900002,128.279999,125.470001,126.5,126.5,1716000
06/08/19,127.32,128.139999,125.919998,127.059998,127.059998,1472000
07/08/19,125.540001,127.449997,124.699997,127.169998,127.169998,1740700
08/08/19,128.350006,131.339996,127.309998,130.470001,130.470001,1963800
09/08/19,129.919998,130.699997,128.009995,128.919998,128.919998,1613300
